N§,Nombre,Total,Por mil (?)
1,ANDRES FELIPE,1.844,"14,103"
2,SANTIAGO,1.487,"11,373"
3,JUAN DAVID,1.351,"10,332"
4,JUAN CARLOS,1.27,"9,713"
5,JUAN CAMILO,1.177,"9,002"
6,SEBASTIAN,1.128,"8,627"
7,MIGUEL ANGEL,1.099,"8,405"
8,CARLOS ANDRES,1.052,"8,046"
9,JUAN PABLO,1.009,"7,717"
10,JUAN SEBASTIAN,993,"7,594"
11,CARLOS ALBERTO,986,"7,541"
12,DIEGO FERNANDO,942,"7,204"
13,ALEXANDER,933,"7,136"
14,ALEJANDRO,921,"7,044"
15,JUAN JOSE,829,"6,340"
16,LUIS FERNANDO,735,"5,621"
17,SAMUEL,683,"5,224"
18,JUAN ESTEBAN,663,"5,071"
19,NICOLAS,647,"4,948"
20,JULIAN ANDRES,611,"4,673"
21,CESAR AUGUSTO,571,"4,367"
22,DANIEL,533,"4,076"
23,JHON JAIRO,524,"4,008"
24,GUSTAVO ADOLFO,501,"3,832"
25,MAURICIO,496,"3,793"
26,CRISTIAN CAMILO,491,"3,755"
27,JULIO CESAR,487,"3,725"
28,JUAN MANUEL,474,"3,625"
29,JUAN FELIPE,465,"3,556"
30,JOHN JAIRO,464,"3,549"
31,JUAN DIEGO,449,"3,434"
32,LUIS EDUARDO,420,"3,212"
33,RUBEN DARIO,385,"2,944"
34,LUIS ALBERTO,381,"2,914"
35,JOSE LUIS,380,"2,906"
36,HECTOR FABIO,378,"2,891"
37,MATEO,371,"2,837"
38,DIEGO ALEJANDRO,368,"2,814"
39,LUIS CARLOS,366,"2,799"
40,FERNANDO,348,"2,661"
41,CARLOS ARTURO,338,"2,585"
42,MATIAS,337,"2,577"
43,LUIS FELIPE,330,"2,524"
44,ANDRES MAURICIO,324,"2,478"
45,CRISTIAN DAVID,319,"2,440"
46,DAVID,308,"2,356"
47,JONATHAN,308,"2,356"
48,JORGE ANDRES,303,"2,317"
49,JHON ALEXANDER,301,"2,302"
50,FRANCISCO JAVIER,286,"2,187"
51,CAMILO ANDRES,283,"2,164"
52,JULIAN DAVID,280,"2,141"
53,ANDRES,278,"2,126"
54,WILLIAM,273,"2,088"
55,EMMANUEL,271,"2,073"
56,JOHN ALEXANDER,271,"2,073"
57,LEONARDO,271,"2,073"
58,JOHAN SEBASTIAN,268,"2,050"
59,WILSON,259,"1,981"
60,JHON FREDY,256,"1,958"
61,RICARDO,255,"1,950"
62,CARLOS MARIO,252,"1,927"
63,ESTEBAN,250,"1,912"
64,VICTOR MANUEL,248,"1,897"
65,ANDERSON,244,"1,866"
66,JERONIMO,241,"1,843"
67,JORGE ELIECER,240,"1,836"
68,JOSE DAVID,240,"1,836"
69,VICTOR ALFONSO,239,"1,828"
70,JORGE IVAN,235,"1,797"
71,DANIEL FELIPE,233,"1,782"
72,JOHN FREDY,222,"1,698"
73,JAVIER,221,"1,690"
74,ORLANDO,220,"1,683"
75,JORGE LUIS,219,"1,675"
76,VICTOR HUGO,217,"1,660"
77,JORGE ENRIQUE,216,"1,652"
78,OSCAR EDUARDO,214,"1,637"
79,ALVARO,210,"1,606"
80,CAMILO,205,"1,568"
81,HENRY,204,"1,560"
82,MARTIN,203,"1,553"
83,ROBINSON,199,"1,522"
84,CARLOS EDUARDO,197,"1,507"
85,EDWIN,197,"1,507"
86,SERGIO ANDRES,194,"1,484"
87,LUIS ALFONSO,193,"1,476"
88,DIEGO ARMANDO,192,"1,468"
89,JAIME,191,"1,461"
90,JOSE MANUEL,191,"1,461"
91,JEFFERSON,186,"1,423"
92,KEVIN ANDRES,186,"1,423"
93,JHONATAN,185,"1,415"
94,JULIAN,183,"1,400"
95,MATHIAS,183,"1,400"
96,JUAN FERNANDO,182,"1,392"
97,CRISTIAN ANDRES,180,"1,377"
98,RODRIGO,175,"1,338"
99,OSCAR,174,"1,331"
100,JESUS DAVID,171,"1,308"
101,GUSTAVO,169,"1,293"
102,FABIAN ANDRES,165,"1,262"
103,KEVIN,165,"1,262"
104,JACOBO,164,"1,254"
105,JAIRO,163,"1,247"
106,LUIS ENRIQUE,161,"1,231"
107,JAIME ANDRES,160,"1,224"
108,JHOAN SEBASTIAN,159,"1,216"
109,GUILLERMO,158,"1,208"
110,JUAN ANDRES,156,"1,193"
111,OSCAR ANDRES,156,"1,193"
112,GERMAN,155,"1,185"
113,JOSE FERNANDO,152,"1,162"
114,THIAGO,150,"1,147"
115,NELSON,147,"1,124"
116,LUIS MIGUEL,146,"1,117"
117,DIEGO,145,"1,109"
118,JOSE ALEJANDRO,145,"1,109"
119,DIEGO ALEXANDER,144,"1,101"
120,JUAN GUILLERMO,144,"1,101"
121,SERGIO,144,"1,101"
122,DIEGO ANDRES,141,"1,078"
123,IVAN DARIO,141,"1,078"
124,CRISTIAN,140,"1,071"
125,FABIAN,139,"1,063"
126,FELIPE,137,"1,048"
127,STEVEN,135,"1,032"
128,LUIS ANGEL,134,"1,025"
129,LUIS ALEJANDRO,129,"0,987"
130,BRAYAN,128,"0,979"
131,DANIEL ALEJANDRO,127,"0,971"
132,MANUEL ALEJANDRO,127,"0,971"
133,JOSE DANIEL,126,"0,964"
134,CARLOS HUMBERTO,125,"0,956"
135,JORGE MARIO,125,"0,956"
136,HERNANDO,124,"0,948"
137,DYLAN,122,"0,933"
138,JORGE ALBERTO,122,"0,933"
139,JOSE ANTONIO,122,"0,933"
140,EMANUEL,121,"0,925"
141,CARLOS AUGUSTO,120,"0,918"
142,CARLOS ENRIQUE,118,"0,902"
143,THOMAS,116,"0,887"
144,EDGAR,115,"0,880"
145,EMILIANO,114,"0,872"
146,PABLO ANDRES,113,"0,864"
147,DAVID ALEJANDRO,112,"0,857"
148,CHRISTIAN DAVID,111,"0,849"
149,JUAN DANIEL,110,"0,841"
150,LEONARDO FABIO,110,"0,841"
151,ANDRES DAVID,109,"0,834"
152,JOSE ALEXANDER,109,"0,834"
153,GABRIEL,108,"0,826"
154,JAMES,108,"0,826"
155,LUIS ALFREDO,108,"0,826"
156,MAXIMILIANO,108,"0,826"
157,EDISON,107,"0,818"
158,JAIME ALBERTO,107,"0,818"
159,JOSE MIGUEL,107,"0,818"
160,JEAN PAUL,106,"0,811"
161,ANDRES CAMILO,105,"0,803"
162,JESUS ANTONIO,105,"0,803"
163,JORGE ARMANDO,105,"0,803"
164,ALBERTO,104,"0,795"
165,EDINSON,103,"0,788"
166,JULIAN ALBERTO,101,"0,772"
167,CRISTHIAN CAMILO,100,"0,765"
168,HAROLD,100,"0,765"
169,WALTER,100,"0,765"
170,BRAYAN STIVEN,99,"0,757"
171,CARLOS JULIO,99,"0,757"
172,JHON FREDDY,99,"0,757"
173,DIEGO MAURICIO,98,"0,749"
174,CHRISTIAN CAMILO,97,"0,742"
175,ISAAC,97,"0,742"
176,JOAN SEBASTIAN,97,"0,742"
177,JUAN GABRIEL,97,"0,742"
178,RAFAEL,97,"0,742"
179,STIVEN,97,"0,742"
180,HERNAN DARIO,96,"0,734"
181,EDUARDO,95,"0,727"
182,CARLOS FERNANDO,94,"0,719"
183,CRISTHIAN DAVID,94,"0,719"
184,DAVID SANTIAGO,93,"0,711"
185,FERNEY,93,"0,711"
186,JORGE,93,"0,711"
187,JORGE HERNAN,92,"0,704"
188,EDWIN ANDRES,91,"0,696"
189,HERNAN,91,"0,696"
190,ALFONSO,90,"0,688"
191,ANDRES FERNANDO,90,"0,688"
192,JORGE EDUARDO,90,"0,688"
193,SAMUEL DAVID,90,"0,688"
194,FREDY,89,"0,681"
195,HUMBERTO,89,"0,681"
196,JOSE JULIAN,89,"0,681"
197,DANIEL ANDRES,88,"0,673"
198,OSCAR MAURICIO,88,"0,673"
199,MICHAEL,87,"0,665"
200,YEISON,87,"0,665"
201,FABIO,86,"0,658"
202,MARIO,86,"0,658"
203,JHON ALEJANDRO,85,"0,650"
204,RAUL,84,"0,642"
205,BRAYAN ANDRES,83,"0,635"
206,GILBERTO,83,"0,635"
207,ALEXIS,82,"0,627"
208,DANIEL FERNANDO,82,"0,627"
209,DAVID FERNANDO,82,"0,627"
210,OSCAR JAVIER,82,"0,627"
211,JAIRO ANDRES,81,"0,619"
212,JOHN FREDDY,81,"0,619"
213,CARLOS MAURICIO,80,"0,612"
214,OSCAR FERNANDO,80,"0,612"
215,ADRIAN,79,"0,604"
216,ALBEIRO,79,"0,604"
217,OMAR,79,"0,604"
218,WILLIAM ANDRES,79,"0,604"
219,BRAYAN STEVEN,78,"0,597"
220,JEAN CARLOS,78,"0,597"
221,LUIS ANTONIO,77,"0,589"
222,LUIS DAVID,77,"0,589"
223,ALFREDO,76,"0,581"
224,ARMANDO,76,"0,581"
225,JAVIER ANDRES,76,"0,581"
226,RICARDO ANDRES,76,"0,581"
227,SIMON,76,"0,581"
228,BRYAN,75,"0,574"
229,GIOVANNY,75,"0,574"
230,JOHAN ANDRES,75,"0,574"
231,LUIS HERNANDO,75,"0,574"
232,MICHAEL STEVEN,75,"0,574"
233,RAMIRO,75,"0,574"
234,GERARDO,74,"0,566"
235,JESUS ALBERTO,74,"0,566"
236,JHON SEBASTIAN,74,"0,566"
237,JOSE ANDRES,74,"0,566"
238,WILMER,73,"0,558"
239,PEDRO ANTONIO,72,"0,551"
240,JAIR,71,"0,543"
241,JOHN ALEJANDRO,71,"0,543"
242,MARCO ANTONIO,71,"0,543"
243,DANIEL ESTEBAN,70,"0,535"
244,JHON ANDERSON,70,"0,535"
245,JUAN ALEJANDRO,70,"0,535"
246,GIOVANNI,68,"0,520"
247,PABLO,68,"0,520"
248,RODOLFO,68,"0,520"
249,CARLOS,67,"0,512"
250,JOHN EDWARD,67,"0,512"
251,LUIS GUILLERMO,67,"0,512"
252,OSCAR IVAN,67,"0,512"
253,ANTHONY,66,"0,505"
254,FABIO ANDRES,66,"0,505"
255,LEANDRO,66,"0,505"
256,OSWALDO,66,"0,505"
257,ANGEL DAVID,65,"0,497"
258,OSCAR DAVID,65,"0,497"
259,CHRISTIAN,64,"0,489"
260,JEFERSON,64,"0,489"
261,LUIS GABRIEL,64,"0,489"
262,MARIO ANDRES,64,"0,489"
263,JHON EDISON,63,"0,482"
264,TOMAS,63,"0,482"
265,JOSE GREGORIO,62,"0,474"
266,JOSE LEONARDO,62,"0,474"
267,JUAN MIGUEL,62,"0,474"
268,JORGE ALEXANDER,61,"0,467"
269,MANUEL FERNANDO,61,"0,467"
270,MAURICIO ANDRES,61,"0,467"
271,ROBERTO,61,"0,467"
272,YEISON ANDRES,61,"0,467"
273,CRISTIAN FELIPE,60,"0,459"
274,JOSE ORLANDO,60,"0,459"
275,JOSE RICARDO,60,"0,459"
276,JUAN MARTIN,60,"0,459"
277,CARLOS DAVID,59,"0,451"
278,CHRISTIAN ANDRES,59,"0,451"
279,JOSE VICENTE,59,"0,451"
280,LUIS ERNESTO,59,"0,451"
281,BRYAN STEVEN,58,"0,444"
282,CARLOS DANIEL,58,"0,444"
283,JOHN ANDERSON,58,"0,444"
284,JULIAN MAURICIO,58,"0,444"
285,SERGIO ALEJANDRO,58,"0,444"
286,BRANDON,57,"0,436"
287,DAGOBERTO,57,"0,436"
288,DAVID FELIPE,57,"0,436"
289,JOSE IGNACIO,57,"0,436"
290,LIAM,57,"0,436"
291,ANTONIO JOSE,56,"0,428"
292,CESAR ANDRES,56,"0,428"
293,CRISTHIAN ANDRES,56,"0,428"
294,EDILBERTO,56,"0,428"
295,EDWIN ALBERTO,56,"0,428"
296,GERMAN ANDRES,56,"0,428"
297,BERNARDO,55,"0,421"
298,LIBARDO,55,"0,421"
299,MIGUEL ANTONIO,55,"0,421"
300,SANTIAGO ANDRES,55,"0,421"
301,VICTOR ANDRES,55,"0,421"
302,VLADIMIR,55,"0,421"
303,ALVARO ANDRES,54,"0,413"
304,GERONIMO,54,"0,413"
305,HECTOR,54,"0,413"
306,JHON JAMES,54,"0,413"
307,JOSE MAURICIO,54,"0,413"
308,JULIAN ESTEBAN,54,"0,413"
309,RAFAEL ANTONIO,54,"0,413"
310,REINALDO,54,"0,413"
311,FREDDY,53,"0,405"
312,JOSE ALBERTO,53,"0,405"
313,ALVARO JOSE,52,"0,398"
314,ARLEY,52,"0,398"
315,FEDERICO,52,"0,398"
316,GONZALO,52,"0,398"
317,JONATHAN ANDRES,52,"0,398"
318,JORGE HUMBERTO,52,"0,398"
319,PEDRO LUIS,52,"0,398"
320,DANIEL MAURICIO,51,"0,390"
321,JORGE LEONARDO,51,"0,390"
322,JOSE OMAR,51,"0,390"
323,JULIAN CAMILO,51,"0,390"
324,MARIO ALEJANDRO,51,"0,390"
325,MARLON,51,"0,390"
326,WILSON ANDRES,51,"0,390"
327,ALDEMAR,50,"0,382"
328,DIEGO ALBERTO,50,"0,382"
329,EDWARD,50,"0,382"
330,EFRAIN,50,"0,382"
331,JEAN PIERRE,50,"0,382"
332,JOHAN,50,"0,382"
333,KEVIN ALEXANDER,50,"0,382"
334,KEVIN SANTIAGO,50,"0,382"
335,MARIO ALBERTO,50,"0,382"
336,RONALD,50,"0,382"
337,CHRISTOPHER,49,"0,375"
338,FABIO NELSON,49,"0,375"
339,FRANKLIN,49,"0,375"
340,JAIRO ALBERTO,49,"0,375"
341,JHON EDINSON,49,"0,375"
342,KEVIN ALEJANDRO,49,"0,375"
343,MANUEL,49,"0,375"
344,MIGUEL,49,"0,375"
345,SAMUEL ALEJANDRO,49,"0,375"
346,BLADIMIR,48,"0,367"
347,FRANCISCO ANTONIO,48,"0,367"
348,GUSTAVO ANDRES,48,"0,367"
349,JHONATHAN,48,"0,367"
350,JOHAN STIVEN,48,"0,367"
351,JOHN EDISON,48,"0,367"
352,MANUEL ANTONIO,48,"0,367"
353,CARLOS JAVIER,47,"0,359"
354,ERNESTO,47,"0,359"
355,BENJAMIN,46,"0,352"
356,DANIEL EDUARDO,46,"0,352"
357,DANILO,46,"0,352"
358,DAVID ANDRES,46,"0,352"
359,HUGO,46,"0,352"
360,ISMAEL,46,"0,352"
361,IVAN,46,"0,352"
362,JOSE ALBEIRO,46,"0,352"
363,JOSE GABRIEL,46,"0,352"
364,OSCAR ALBERTO,46,"0,352"
365,WILMAR,46,"0,352"
366,YESID,46,"0,352"
367,ALIRIO,45,"0,344"
368,DANIEL SANTIAGO,45,"0,344"
369,JESUS MARIA,45,"0,344"
370,JOSE JESUS,45,"0,344"
371,MICHAEL ANDRES,45,"0,344"
372,YEFERSON,45,"0,344"
373,ANDRES EDUARDO,44,"0,337"
374,BRAYAN DAVID,44,"0,337"
375,CARLOS HERNAN,44,"0,337"
376,JAVIER MAURICIO,44,"0,337"
377,JEISON,44,"0,337"
378,JOHN JAMES,44,"0,337"
379,JOSE WILLIAM,44,"0,337"
380,JOSHUA,44,"0,337"
