N¼,Nombre,Total,Por mil (ä)
1,DANIELA,1.374,"8,534"
2,LUISA FERNANDA,1.262,"7,839"
3,VALENTINA,1.208,"7,503"
4,SANDRA MILENA,1.198,"7,441"
5,CAROLINA,1.124,"6,981"
6,PAOLA ANDREA,1.12,"6,957"
7,PAULA ANDREA,1.061,"6,590"
8,DIANA MARCELA,1.01,"6,273"
9,MARIA CAMILA,906,"5,627"
10,ANA MARIA,886,"5,503"
11,MARIA FERNANDA,878,"5,454"
12,NATALIA,830,"5,155"
13,MARIA ALEJANDRA,784,"4,870"
14,LUZ MARINA,767,"4,764"
15,LINA MARCELA,762,"4,733"
16,MARIANA,761,"4,727"
17,ISABELLA,725,"4,503"
18,LINA MARIA,724,"4,497"
19,SANDRA PATRICIA,722,"4,485"
20,CLAUDIA PATRICIA,719,"4,466"
21,ELIZABETH,687,"4,267"
22,DIANA CAROLINA,661,"4,106"
23,MARIA JOSE,648,"4,025"
24,LUZ ADRIANA,607,"3,770"
25,VALERIA,539,"3,348"
26,MARIA EUGENIA,533,"3,311"
27,ALEJANDRA,520,"3,230"
28,ANGELA MARIA,516,"3,205"
29,LILIANA,506,"3,143"
30,SALOME,475,"2,950"
31,MARTHA CECILIA,474,"2,944"
32,MARTHA LUCIA,462,"2,870"
33,JULIANA,458,"2,845"
34,SOFIA,446,"2,770"
35,OLGA LUCIA,443,"2,752"
36,KATHERINE,440,"2,733"
37,DIANA PATRICIA,436,"2,708"
38,MANUELA,436,"2,708"
39,ADRIANA,426,"2,646"
40,LUZ DARY,426,"2,646"
41,LUCIANA,415,"2,578"
42,GABRIELA,411,"2,553"
43,ANGELICA MARIA,407,"2,528"
44,MARIA ISABEL,400,"2,485"
45,ANA MILENA,384,"2,385"
46,SARA,384,"2,385"
47,ALEXANDRA,383,"2,379"
48,MONICA,382,"2,373"
49,MAYRA ALEJANDRA,369,"2,292"
50,DIANA MARIA,368,"2,286"
51,LUZ STELLA,365,"2,267"
52,MARIA ELENA,332,"2,062"
53,MARISOL,330,"2,050"
54,VIVIANA,326,"2,025"
55,ANDREA,324,"2,012"
56,MARIA CARMEN,320,"1,988"
57,ESTEFANIA,318,"1,975"
58,MARIA PILAR,316,"1,963"
59,JENNIFER,315,"1,957"
60,LEIDY JOHANNA,312,"1,938"
61,ISABEL CRISTINA,305,"1,894"
62,GLORIA PATRICIA,302,"1,876"
63,YOLANDA,301,"1,870"
64,VANESSA,299,"1,857"
65,MARIA PAULA,298,"1,851"
66,CATALINA,286,"1,776"
67,LAURA,277,"1,721"
68,LEIDY JOHANA,270,"1,677"
69,TATIANA,270,"1,677"
70,ADRIANA MARIA,258,"1,603"
71,GLORIA INES,257,"1,596"
72,BEATRIZ ELENA,256,"1,590"
73,AMPARO,254,"1,578"
74,LUISA MARIA,254,"1,578"
